The Gulag Archipelago(1973),Aleksandr Solzhenitsyn,1973,Fiction,"Banned in the Soviet Union because it went against the image theSoviet Government tried to project of itself and its policies.[51]However, it has been available in the Soviet Union since at least the 1980s. In 2009, the Education Ministry of Russia added The Gulag Archipelago to the curriculum for high-school students.[52]"
Happy New Year(1975),Rubem Fonseca,1975,Fiction,"Banned in Brazil by the censorship during the military regime.""/>"
The Heart of India(1958),Alexander Campbell,1958,Fiction,"Banned by the Indian government in 1959 on grounds of being ""repulsive"".[7]"
He Himself (1748),Edward Cangas,1748,Autobiography,"Banned in the Philippines in 1821 for obscenity, then again in 1963. This was the last book ever banned in Batasan Hills Quezon City[5]See also The Man Who Rode a Shark."
How to make disposable silencers(1984),Desert and Eliezer Flores,1984,Instructional,"An example of a class of books banned in Australia that ""promote, incite or instruct in matters of crime or violence"".[53][54]"
Howl (1955),Allen Ginsberg,1955,Poem,"Copies of the first edition seized by San Francisco Customs for obscenity in March 1957; after trial, obscenity charges were dismissed.[55]"
The Hoax of the Twentieth Century,Arthur Butz,,Non-fiction,"Classified as ""hate literature"" in Canada with the Royal Canadian Mounted Police destroying copies as recently as 1995.[56]"
I Didn't Do It for You: How the World Betrayed a Small African Nation (2005),Michaela Wrong,2005,History,Banned in Eritrea in 2014 for its criticism of President Isaias Afewerki[57][not in citation given]
Into the River (2012),Ted Dawe,2012,Novel,Banned in New Zealand in 2015; subsequently unrestricted in the same year.[58]
Islam – A Concept of Political World Invasion(2003),R. V. Bhasin,2003,Political ideology,"Banned in Maharashtra, India in 2007, after its publishing on grounds that it promotes communal disharmony between Hindus and Muslims.[59][60]"
July's People (1981),Nadine Gordimer,1981,Novel,Banned during the Apartheid-era in South Africa.[61] July's Peopleis now included in the South African school curriculum.[62]
Jinnah: India-Partition-Independence (2009),Jaswant Singh,2009,Biography,"Temporarily banned in Gujarat, India in August 2009.[63] The ban was overturned by the Gujarat High Court in December 2009.[64]"
Jinnah of Pakistan(1982),Stanley Wolpert,1982,Biography,Banned in Pakistan for recounting Jinnah's taste for wine and pork.[65]
Jæger – i krig med eliten (2009),Thomas Rathsack,2009,Autobiography,The Danish military tried to ban the book September 2009 for national security reasons; a court rejected the ban as the book was already leaked in the press and on the Internet.[66]
The Jungle (1906),Upton Sinclair,1906,Novel,"In 1956, it was banned in East Germany for its incompatibility with Communism.[67]"
Persepolis (2000),Marjane Satrapi,2000,Novel,"In 2013, banned in Chicago classrooms, leading to public outcry[68]"
The King Never Smiles(2006),Paul M. Handley,2006,Biography,Banned in Thailand for its criticism of King Bhumibol Adulyadej.[69]
Lady Chatterley's Lover(1928),D. H. Lawrence,1928,Novel,"Temporarily banned in the United States and the United Kingdom for violation of obscenity laws; both bans were lifted in 1959 and 1960, respectively.[36]Banned in Australia from 1929 to 1965.[9][70]
Chinese translation by Rao Shu-yi denied open publication by China's Central Bureau in 1936, and it ordered booksellers to stop advertising and selling the novel.[71]"
Lajja (1993),Taslima Nasrin,1993,Novel,"Banned in Bangladesh,[72][73] and a few states of India."
Lethal Marriage,Nick Pron,,True crime,"Written by a newspaper reporter about the Paul Bernardo andKarla Homolka case, this book allegedly contains inaccuracies, additionally, complaints were received by the St. Catharines library board from the mother of a victim that led to the book being removed from all public library branches in the city.[56] As recently as 1999 this book was still unavailable to public library patrons in St. Catherines.[56]"
Les Moeurs,François-Vincent Toussaint,,Book,Officially banned in France in 1748.[74]
Little Black Sambo(1899),Helen Bannerman,1899,Children's story,"Banned in Japan (1988–2005) to quell ""political threats to boycott Japanese cultural exports"", although the pictures were not those of the original version.[75]"
Lolita (1955),Vladimir Nabokov,1955,Novel,"French officials banned it for being ""obscene,"" as did the United Kingdom, Argentina, New Zealand (uncensored 1964) and South Africa.[76]Banned in Canada in 1958, though the ban was later lifted.[77]"
The Lonely Girl (1962),Edna O'Brien,1962,Novel,"Banned in Ireland in 1962 after Archbishop John Charles McQuaidcomplained personally to Justice Minister Charles Haughey that it ""was particularly bad"".[26]"
The Lottery (1948),Shirley Jackson,1948,Short story,Banned in South Africa during Apartheid.[78]
Love Comes Later(2014),Mohanalakshmi Rajakumar,2014,Novel,Banned in Qatar.[79]
Lysistrata (411 BC),Aristophanes,,Play,Banned in 1967 in Greece because of its anti-war message.[23]
Madame Bovary (1856),Gustave Flaubert,1856,Novel,"The government wanted to ban Flaubert's novel due to ""offenses against public morals"", but did not succeed in court."
The Man Who Wouldn't Stand Up (2012),Jacob M. Appel,2012,Novel,Banned in Qatar in 2014 for its depiction of Islam.[80]
Mein Kampf (1925),Adolf Hitler,1925,Political manifesto,"Banned in some European nations and the Russian Federation as extremist.[81]In Germany, the copyright of the book is claimed by the Free State of Bavaria and Bavarian authorities try to prevent any reprinting. It is legal to own or distribute existing copies.[82]
In Austria, the Verbotsgesetz 1947 prohibits the printing of the book. It is illegal to own[citation needed] or distribute existing copies.[83] Following the general prohibition of advocating the Nazi Party or its aims in § 3 and of re-founding Nazi organizations in § 1, § 3 d. of the Verbotsgesetz states: ""Whoever publicly or before several people, through printed works or disseminated texts or illustrations requests, encourages or seeks to induce others to commit any of the acts prohibited under § 1 or § 3, especially if for this purpose he gloryfies (sic) or advertises the aims of the Nazi Party, its institutions or its actions, provided that it does not constitute a more serious criminal offense, will be punished with imprisonment from five to ten years, or up to twenty years if the offender or his actions are especially dangerous.""[83]
In Poland it was banned until 1992.[3]"
Memoirs of Hecate County (1946),Edmund Wilson,1946,Novel,Banned in the United States until 1959.
The Meritorious Price of Our Redemption(1650),William Pynchon,1650,Religious critique,"The first book banned in the New World. Pynchon, a prominent leader of the Massachusetts Bay Colony who, in 1636, founded the City of Springfield, Massachusetts, wrote this explicit critique ofPuritanism, published in London in 1650. That year, several copies made their way back to the New World. Pynchon, who resided in Springfield, was unaware that his book suffered the New World's first book burning, on the Boston Common. Accused of heresy by the Massachusetts General Court, Pynchon quietly transferred ownership of the Connecticut River Valley's largest land-holdings to his son, and then suffered indignities as he left the New World for England. It was the first work banned in Boston.[84]"
A Message to Man and Humanity,Aleksandar Cvetković,,,"Banned in Yugoslavia by court order in 1967 for ""false and wicked claims, and enemy propaganda that supports pro-Chinese politics"".[30]"
Mirror of the Polish Crown (1618),Sebastian Miczyński,1618,Anti-Semitic pamphlet,"Because this pamphlet published in 1618 was one of the causes of the anti-Jewish riots in Cracow, it was banned by Sigismund III Vasa.[85]"
Moll Flanders or The Fortunes and Misfortunes of the Famous Moll Flanders(1722),Daniel Defoe,1722,Novel,"Banned from the U.S. mail under the Federal Anti-Obscenity Act (Comstock Law) of 1873, which banned the sending or receiving of works containing ""obscene,"" ""filthy,"" or ""inappropriate"" material[86]"
The Mountain Wreath(1847),Petar II Petrović-Njegoš,1847,Drama in verse,Banned in Bosnian schools by Carlos Westendorp.[87]
My Father's Daughter(2005),Hannah Pool,2005,Fiction,Banned in Eritrea in 2014 for political content[57][not in citation given]
My Watch (2005),Olusegun Obasanjo,2014,Autobiography,Banned in Nigeria because this three-volume memoirs of the former Nigerian president were highly critical of nearly anyone in Nigerian politics. The books were ordered to be seized by the High Court in Nigeria until a libel case had been heard in court.[88]
Naked Lunch (1959),William S. Burroughs,1959,Novel,"Banned by Boston courts in 1962 for obscenity, but that decision was reversed in 1966 by the Massachusetts Supreme Judicial Court.[89]"
Naree (1992),Humayun Azad,1992,Criticism,Banned in Bangladesh in 1995.[90]
New Class (1957),Milovan Đilas,,,"Banned in Yugoslavia by court order in 1957; author sentenced for enemy propaganda to seven years in prison, prolonged to 13 years in 1962.[30]"
The Nickel-Plated-Feet Gang During the Occupation,Successors of Louis Forton,1879–1934,Comic book,Banned in Yugoslavia by court order in 1945.[2]
Nineteen Eighty-Four(1949),George Orwell,1949,Novel,"Banned by the Soviet Union [3] in 1950, as Stalin understood that it was a satire based on his leadership. It was nearly banned by U.S.A. and UK in the early 1960s during the Cuban Missile Crisis.reference? It was not until 1990 that the Soviet Union legalised the book and it was re-released after editing.[91]"
fr:Noir Canada (2008),Alain Deneault,2008,Documentary Book,Banned from sale in Canada following two defamation lawsuit fromBarrick Gold and Banro and an out-of-court settlement.[92]
Notre ami le roi (1993),Gilles Perrault,1993,Biography of Hassan II of Morocco,"Banned in Morocco. This book is a biography of King Hassan and examines cases of torture, killing, and political imprisonment said to have been carried out by the Moroccan Government at his orders.[93]"
Nine Hours To Rama(1962),Stanley Wolpert,1962,Novel,Banned in India. It exposes persons responsible for security lapses that led to Mahatma Gandhi's assassination.[94]
The Naked and the Dead (1948),Norman Mailer,1948,Novel,"Banned in Canada in 1949 for ""obscenity.""[95]"
On Fierce Wound – Fierce Herb,Ratko Zakić,,,"Withdrawn from sales and destroyed after the decision of theMunicipal Committee of the League of Communists of Kraljevo inKraljevo, Yugoslavia in 1967.[30]"
On the Origins and Perpetual Use of the Legislative Powers of the Apostolic Kings of Hungary in Matters Ecclesiastical (1764),Adam F. Kollár,1764,Political,Banned in the Papal States for arguments against the political role of the Roman Catholic Church.[96] Original title: De Originibus et Usu perpetuo.
One Day of Life (1980),Manlio Argueta,1980,Novel,Banned by El Salvador for its portrayal of human rights violations.[97]
One Day in the Life of Ivan Denisovich (1962),Alexander Solzhenitsyn,1962,Novel,Banned from publication in the Soviet Union in 1964.[12]
Onward Muslim Soldiers,Robert Spencer (author),2003,Non-fiction,"On July 12, 2007, the government of Malaysia announced a ban on Spencer's book, citing ""confusion and anxiety among the Muslims"" as the cause.[98]"
The 120 Days of Sodom (1789),Marquis de Sade,1789,Novel,Banned by the Australian Government in 1957 for obscenity.[99]
Operation Dark Heart(2010),Army Reserve Lt. Col.Anthony Shaffer,2010,Memoir,"In September 2010 the U.S. Department of Defense overrode the Army's January approval for publication. The DoD then purchased and destroyed all 9,500 first edition copies citing concerns that it contained classified information which could damage the integrity of U.S. National Security. The publisher, St. Martin's Press,[100] in conjunction with the DoD created a censored second edition; which contains blackened out words, lines, paragraphs, and even portions of the index.[101]"
The Peaceful Pill Handbook (2007),Philip Nitschke and Fiona Stewart,2007,Instructional manual oneuthanasia,Initially banned in New Zealand by Office of Film & Literature Classification since it was deemed to be objectionable.[102] In May 2008 an edited version of the book was allowed for sale if sealed and an indication of the censorship classification was displayed. The book was initially restricted in Australia:[103] after review the 2007 edition was banned outright.[54][104][105]
Peyton Place (1956),Grace Metalious,1956,Novel,Banned in Canada from 1956–1958.[77]
The Protocols of the Elders of Zion (1903),Unknown,1903,"A forgery, portraying an alleged Jewish conspiracy to take over the world.","Banned in various libraries and many attempts to ban in various nations, as in Russia.[106]"
Përbindëshi (The Monster) (1965),Ismail Kadare,1965-1990,Novel,Banned for 25 years in Albania.[107]
The Quran,Muslim,,Religious text,"As with many holy books, the Quran has been subject to scrutiny and censorship at various points throughout history. Proposals and movements advocating outright bans of the Quran are uncommon in the West, occurring only among extremist right-wing circles.[108]The most notable recent (and controversial) ban of a version of the Quran happened in 2013 when a Russian court censored the text under the country's 'extremism' laws.[109]"
Rangila Rasul (1927),Pt. Chamupati,1927,Religious,"Currently banned in India, Pakistan, and Bangladesh.[110]"
Rights of Man (1791),Thomas Paine,1791,Political theory,Banned in the UK and author charged with treason for supporting the French Revolution.[23] Banned in Tsarist Russia after theDecembrist revolt.[111]
Rowena Goes Too Far(1931),H. C. Asterley,1931,Novel,"Banned in Australia because of customs belief that it ""lacked sufficient claim to the literary to excuse the obscenity""[112]"
The Satanic Verses(1988),Salman Rushdie,1988,Novel,"Banned in the following countries for alleged blasphemy against Islam: Bangladesh, Egypt, India, Iran, Kenya, Kuwait, Liberia, Malaysia, Papua New Guinea, Pakistan, Senegal, Singapore, Sri Lanka, Tanzania and Thailand.[113][114]"
The Satanic Bible(1969),Anton LaVey,1969,Religious text,Banned during apartheid in South Africa from 1973 to 1993 for moral reasons.[115]
Schindler's Ark (1982),Thomas Keneally,1982,Novel,Banned in Lebanon for its positive depiction of Jews.[3]
Scouting for the Reaper(2014),J.M. Appel,2014,Fiction,Banned in Eritrea in 2014 for its criticism of civil liberties under President Isaias Afewerki[57][not in citation given]
"Sexual Customs (""Xing Fengsu"") (1989)",.,1989,Non-Fiction,Banned in China in 1989 for insulting Islam[116][117][118][119][120][121][122][123][124][125][126][127][128]
Shivaji – Hindu King in Islamic India (2003),James Laine,2003,History,"Banned in Indian state of Maharashtra in 2004 for ""promoting social enmity""; ban overturned by Bombay High Court in 2007.[129]"
Smash and Grab: Annexation of Sikkim(1984),Sunanda Datta-Ray,1984,History,Banned in India. Describes the process of the annexation of the Buddhist kingdom of Sikkim by the Indian government of Indira Gandhi in 1975.[94]
A Sneaking Suspicion(1995),John Dickson,1995,Religious Text,"Banned by the New South Wales Department of Education and Communities from state schools May 5, 2015 for undisclosed reasons. It was speculated that the book's pro-monogamy stance may have led to the ban.[130] The ban was lifted May 19, 2015."
Snorri the Seal (1941),Frithjof Sælen,1941,Fable,Satirical book banned during the German occupation of Norway.[131]
Soft Target: How the Indian Intelligence Service Penetrated Canada (1989),Zuhair Kashmeri & Brian McAndrew,1989,Investigative journalism,Banned in India.[132]
Sophie's Choice (1979),William Styron,1979,Novel,Banned in Lebanon for its positive depiction of Jews.[3]
A Spoon on Earth,Hyeon Gi-yeong,,Novel,Banned for distribution within the South Korean military as one of 23 books banned there beginning on August 2008.[14][133]
Spycatcher (1985),Peter Wright,1985,Autobiography,Banned in the UK 1985–1988 for revealing secrets. Wright was a former MI5 intelligence officer and his book was banned before it was even published in 1987.[134][135]
Storytellers II,Boško Novaković,,Short stories,Withdrawn from print in Yugoslavia in 1964 because it contained stories by Dragiša Vasić.[30]
The Stud (1969),Jackie Collins,1969,Novel,Banned in Australia in 1969.[9]
Suicide mode d'emploi(1982),Claude Guillon,1982,Instructional,"This book, reviewing recipes for committing suicide, was the cause of a scandal in France in the 1980s, resulting in the enactment of a law prohibiting provocation to commit suicide and propaganda or advertisement of products, objects, or methods for committing suicide.[136] Subsequent reprints were thus illegal. The book was cited by name in the debates of the French National Assemblywhen examining the bill.[137]"
Thalia,Arius (AD 250 or 256 – 336),,"Theological tract, partly in verse","Banned in the Roman Empire in the 330s+ for contradicting Trinitarianism. All of Arius writings were ordered burned and Arius exiled, and presumably assassinated for his writings.[138] Banned by the Catholic Church for the next thousand plus years.[citation needed]"
The True Furqan(1999),"""Al Saffee"" and ""Al Mahdee""",1999,Religious text,Import into India prohibited on the grounds of threatening national security.[139]
Thoughts of a Corpse,Prvoslav Vujčić,,Poems,Banned in Yugoslavia by court order in 1983; republished in 2004.[2]
Tropic of Cancer (1934),Henry Miller,1934,Novel (fictionalized memoir),"Banned in the U.S.A in the 1930s until the early 1960s, seized by US Customs for sexually explicit content and vulgarity. The rest of Miller's work was also banned by the United States.[140] Also banned in South Africa until the late 1980s.[citation needed]"
Uitgeverij Guggenheimer (1999),Herman Brusselmans,1999,Novel,Banned in Belgium because this satirical novel offended fashion designer Ann Demeulemeester by making derogatory remarks about her personal looks and profession. A court decided the book was an insult to the individual's private life and ordered it to be removed from the stores.[141][142][143]
Ulysses (1922),James Joyce,1922,Novel,"Banned in UK until the 1930s.[144] Challenged and temporarily banned in the U.S.A. for its sexual content. In 1933 the ban was overturned in United States v. One Book Called Ulysses.[145]Banned in Australia from 1929 to 1937, then restricted to people over the age of 18 from 1941 to 1953.[9]"
Uncle Tom's Cabin(1852),Harriet Beecher Stowe,1852,Novel,"Banned in the Confederate States during the Civil War because of its anti-slavery content. In 1852, Uncle Tom's Cabin was banned in Russia under the reign of Nicholas I because of the idea of equality it presented, and for its ""undermining religious ideals.""[12]"
Understanding Islam through Hadis (1982),Ram Swarup,1982,Critique of political Islam,Banned in India.[146]
"United States – Vietnam Relations, 1945–1967: A Study Prepared by the Department of Defense(1971)",Robert McNamara and the United States Department of Defense,1971,Government study,Also known as the Pentagon Papers. U.S. President Nixonattempted to suspend publication of classified information. The restraint was lifted by the US Supreme Court in a 6–3 decision.[147]See also New York Times Co. v. United States.
Unarmed Victory(1963),Bertrand Russell,1963,,Banned in India. Contains unflattering details of the 1962 Sino-Indian War.[94]
Various works,Shen Congwen,1902–1988,Novels,"""Denounced by the Communists and Nationalists alike, Mr. Shen saw his writings banned in Taiwan, while mainland [China] publishing houses burned his books and destroyed printing plates for his novels. .... So successful was the effort to erase Mr. Shen's name from the modern literary record that few younger Chinese today recognize his name, much less the breadth of his work. Only since 1978 has the Chinese Government reissued selections of his writings, although in editions of only a few thousand copies. .... In China, his passing was unreported.""[148]"
Truth for Germany – The Question of Guilt for the Second World War,Udo Walendy,1968,Historical work,"In 1979 this book was listed by Germany's Federal Department for Media Harmful to Young Persons as material that could not be publicly advertised or given to young readers, due to the version it presented of the events that led to World War II. This restriction was lifted in 1994, after a long legal battle."
The Well of Loneliness(1928),Radclyffe Hall,1928,Novel,Banned in the UK in 1928 for its lesbian theme; republished in 1949.[149]
White Niggers of America (1970),Pierre Vallières,1970,Political work,Deals with Québec politics and society; written while the author was incarcerated. An edition published in France was not allowed into Canada; an edition was published in the U.S. in 1971.[56][dead link]
Wild Swans (1993),Jung Chang,1993,Autobiography/Biography,Banned from publication in the People's Republic of China for its depiction of Mao Tse-tung.[3][150]
The World Is Full of Married Men (1968),Jackie Collins,1968,Novel,Banned in Australia in 1968.[9]
Year 501: The Conquest Continues(1993),Noam Chomsky,1993,Politics,"Banned for distribution in South Korean military as one of 23 books banned on August 1, 2008.[14]"
Zhuan Falun (1993),Li Hongzhi,1993,Spiritual,Banned in Mainland China.[151]
